Supercluster,Shortname,AbsoluteIdxToSubfolders,Subcluster,Filename
13,"SM Gi1 Lacrotruncin 10 uM Lacrotruncin",1,1,Z:\#BackupMicData\2016 Jul-Oct\160709_SM_alfa diffusion\alfa-Halo JF-Halo-646 10 uM Lacrotruncin B\#01Ch1\Data\analysis_output.mat
13,"SM Gi1 Lacrotruncin 10 uM Lacrotruncin",2,1,Z:\#BackupMicData\2016 Jul-Oct\160709_SM_alfa diffusion\alfa-Halo JF-Halo-646 10 uM Lacrotruncin B\#02Ch1\Data\analysis_output.mat
13,"SM Gi1 Lacrotruncin 10 uM Lacrotruncin",3,1,Z:\#BackupMicData\2016 Jul-Oct\160709_SM_alfa diffusion\alfa-Halo JF-Halo-646 10 uM Lacrotruncin B\#03Ch1\Data\analysis_output.mat
13,"SM Gi1 Lacrotruncin 10 uM Lacrotruncin",4,1,Z:\#BackupMicData\2016 Jul-Oct\160709_SM_alfa diffusion\alfa-Halo JF-Halo-646 10 uM Lacrotruncin B\#04Ch1\Data\analysis_output.mat
13,"SM Gi1 Lacrotruncin 10 uM Lacrotruncin",5,1,Z:\#BackupMicData\2016 Jul-Oct\160709_SM_alfa diffusion\alfa-Halo JF-Halo-646 10 uM Lacrotruncin B\#05Ch1\Data\analysis_output.mat
13,"SM Gi1 Lacrotruncin 10 uM Lacrotruncin",6,1,Z:\#BackupMicData\2016 Jul-Oct\160709_SM_alfa diffusion\alfa-Halo JF-Halo-646 10 uM Lacrotruncin B\#06Ch1\Data\analysis_output.mat
13,"SM Gi1 Lacrotruncin 10 uM Lacrotruncin",7,1,Z:\#BackupMicData\2016 Jul-Oct\160709_SM_alfa diffusion\alfa-Halo JF-Halo-646 10 uM Lacrotruncin B\#07Ch1\Data\analysis_output.mat
13,"SM Gi1 Lacrotruncin 10 uM Lacrotruncin",8,1,Z:\#BackupMicData\2016 Jul-Oct\160709_SM_alfa diffusion\alfa-Halo JF-Halo-646 10 uM Lacrotruncin B\#08Ch1\Data\analysis_output.mat
12,"SM Gi1 d2 Quinpirole 10 uM Quinpirole",9,1,Z:\#BackupMicData\2016 Jul-Oct\160710_SM_alfa and D2wt diffusion\alfa-Halo JF-Halo-646 d2wt\10 uM Quinpirole\#03Ch1\Data\analysis_output.mat
15,"SM Gs cyclodextrin 10 mM beta",10,2,Z:\#BackupMicData\2016 Jul-Oct\160824_SM Gs JF-646 0.5 nM cyclodextrin\10 mM beta cyclodextrin\#01Ch1\Data\analysis_output.mat
15,"SM Gs cyclodextrin 10 mM beta",11,2,Z:\#BackupMicData\2016 Jul-Oct\160824_SM Gs JF-646 0.5 nM cyclodextrin\10 mM beta cyclodextrin\#02Ch1\Data\analysis_output.mat
15,"SM Gs cyclodextrin 10 mM beta",12,2,Z:\#BackupMicData\2016 Jul-Oct\160824_SM Gs JF-646 0.5 nM cyclodextrin\10 mM beta cyclodextrin\#03Ch1\Data\analysis_output.mat
15,"SM Gs cyclodextrin 10 mM beta",13,2,Z:\#BackupMicData\2016 Jul-Oct\160824_SM Gs JF-646 0.5 nM cyclodextrin\10 mM beta cyclodextrin\#04Ch1\Data\analysis_output.mat
15,"SM Gs cyclodextrin 10 mM beta",14,2,Z:\#BackupMicData\2016 Jul-Oct\160824_SM Gs JF-646 0.5 nM cyclodextrin\10 mM beta cyclodextrin\#05Ch1\Data\analysis_output.mat
15,"SM Gs cyclodextrin 10 mM beta",15,2,Z:\#BackupMicData\2016 Jul-Oct\160824_SM Gs JF-646 0.5 nM cyclodextrin\10 mM beta cyclodextrin\#06Ch1\Data\analysis_output.mat
15,"SM Gs cyclodextrin 10 mM beta",16,2,Z:\#BackupMicData\2016 Jul-Oct\160824_SM Gs JF-646 0.5 nM cyclodextrin\10 mM beta cyclodextrin\#07Ch1\Data\analysis_output.mat
15,"SM Gs cyclodextrin 10 mM beta",17,2,Z:\#BackupMicData\2016 Jul-Oct\160824_SM Gs JF-646 0.5 nM cyclodextrin\10 mM beta cyclodextrin\#08Ch1\Data\analysis_output.mat
15,"SM Gs cyclodextrin 10 mM beta",18,2,Z:\#BackupMicData\2016 Jul-Oct\160824_SM Gs JF-646 0.5 nM cyclodextrin\10 mM beta cyclodextrin\#09Ch1\Data\analysis_output.mat
14,"SM Gs cyclodextrin no treat",19,1,Z:\#BackupMicData\2016 Jul-Oct\160824_SM Gs JF-646 0.5 nM cyclodextrin\no treatment\#01Ch1\Data\analysis_output.mat
14,"SM Gs cyclodextrin no treat",20,1,Z:\#BackupMicData\2016 Jul-Oct\160824_SM Gs JF-646 0.5 nM cyclodextrin\no treatment\#02Ch1\Data\analysis_output.mat
14,"SM Gs cyclodextrin no treat",21,1,Z:\#BackupMicData\2016 Jul-Oct\160824_SM Gs JF-646 0.5 nM cyclodextrin\no treatment\#03Ch1\Data\analysis_output.mat
14,"SM Gs cyclodextrin no treat",22,1,Z:\#BackupMicData\2016 Jul-Oct\160824_SM Gs JF-646 0.5 nM cyclodextrin\no treatment\#04Ch1\Data\analysis_output.mat
14,"SM Gs cyclodextrin no treat",23,1,Z:\#BackupMicData\2016 Jul-Oct\160824_SM Gs JF-646 0.5 nM cyclodextrin\no treatment\#05Ch1\Data\analysis_output.mat
14,"SM Gs cyclodextrin no treat",24,1,Z:\#BackupMicData\2016 Jul-Oct\160824_SM Gs JF-646 0.5 nM cyclodextrin\no treatment\#06Ch1\Data\analysis_output.mat
14,"SM Gs cyclodextrin no treat",25,1,Z:\#BackupMicData\2016 Jul-Oct\160824_SM Gs JF-646 0.5 nM cyclodextrin\no treatment\#07Ch1\Data\analysis_output.mat
22,"SM Gi1 Quinpirole 10 uM Quinpirole",26,1,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\alfai1-Halo JF646 0.5 nM\10 uM Quinpirole\#01Ch1\Data\analysis_output.mat
22,"SM Gi1 Quinpirole 10 uM Quinpirole",27,1,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\alfai1-Halo JF646 0.5 nM\10 uM Quinpirole\#02Ch1\Data\analysis_output.mat
22,"SM Gi1 Quinpirole 10 uM Quinpirole",28,1,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\alfai1-Halo JF646 0.5 nM\10 uM Quinpirole\#04Ch1\Data\analysis_output.mat
22,"SM Gi1 Quinpirole 10 uM Quinpirole",29,1,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\alfai1-Halo JF646 0.5 nM\10 uM Quinpirole\#05Ch1\Data\analysis_output.mat
22,"SM Gi1 Quinpirole 10 uM Quinpirole",30,1,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\alfai1-Halo JF646 0.5 nM\10 uM Quinpirole\#06Ch1\Data\analysis_output.mat
22,"SM Gi1 Quinpirole 10 uM Quinpirole",31,1,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\alfai1-Halo JF646 0.5 nM\10 uM Quinpirole\#07Ch1\Data\analysis_output.mat
