Shortname,AbsoluteIdxToSubfolders,State1Tracks,State2Tracks,Occupancy1,Occupancy2,Lifetime1,Lifetime2
Gi1 Lat,1,482,146,0.781870775406594,0.218129224593406,54.9564315352697,50.6164383561644
Gi1 Lat,2,1452,468,0.984528006267137,0.0154719937328633,31.1590909090909,1.51923076923077
Gi1 Lat,3,1002,408,0.70958112662494,0.29041887337506,29.4171656686627,29.5686274509804
Gi1 Lat,4,1084,449,0.983182439578013,0.0168175604219866,35.1632841328413,1.45211581291759
Gi1 Lat,5,1105,320,0.828228356384939,0.171771643615061,38.6389140271493,27.671875
Gi1 Lat,6,1470,711,0.975088654434924,0.0249113455650757,30.1156462585034,1.59071729957806
Gi1 Lat,7,1421,599,0.715483254350683,0.284516745649317,25.2871217452498,23.8547579298831
Gi1 Lat,8,1010,399,0.715312575595259,0.284687424404741,40.9881188118812,41.2932330827068
Empty,9,0,0,0,0,0,0
Gs Cyclodext,10,231,219,0.39487825356843,0.60512174643157,20.3593073593074,32.9086757990868
Gs Cyclodext,11,55,26,0.994796038274299,0.00520396172570086,107.745454545455,1.19230769230769
Gs Cyclodext,12,395,330,0.475982008995502,0.524017991004498,40.1873417721519,52.9575757575758
Gs Cyclodext,13,526,174,0.989194775909048,0.0108052240909518,40.0304182509506,1.32183908045977
Gs Cyclodext,14,670,490,0.532275071413508,0.467724928586492,41.4388059701493,49.7897959183673
Gs Cyclodext,15,184,99,0.9858195623046,0.0141804376953997,47.9836956521739,1.28282828282828
Gs Cyclodext,16,127,68,0.602038397724579,0.397961602275421,40,49.3823529411765
Gs Cyclodext,17,112,122,0.386320143218717,0.613679856781283,55.875,81.483606557377
Gs Cyclodext,18,204,156,0.540966764267735,0.459033235732265,51.6225490196078,57.2820512820513
Gs No treat,19,618,342,0.703818149529391,0.296181850470609,32.0647249190938,24.3830409356725
Gs No treat,20,623,303,0.690089663072244,0.309910336927756,28.0433386837881,25.8943894389439
Gs No treat,21,389,234,0.619828776581055,0.380171223418945,28.8483290488432,29.4145299145299
Gs No treat,22,702,286,0.726798748696559,0.273201251303441,30.7792022792023,28.3986013986014
Gs No treat,23,863,400,0.708109038173193,0.291890961826807,33.3812282734647,29.6875
Gs No treat,24,408,229,0.687940880080618,0.312059119919382,30.1176470588235,24.3406113537118
Gs No treat,25,180,42,0.76484597065376,0.23515402934624,55.3111111111111,72.8809523809524
Gi1 Quinpirole,26,612,307,0.556858884969786,0.443141115030214,33.2777777777778,52.7915309446254
Gi1 Quinpirole,27,711,247,0.776320852449312,0.223679147550688,36.8888888888889,30.5951417004049
Gi1 Quinpirole,28,192,53,0.821889121569492,0.178110878430508,38.8385416666667,30.4905660377358
Gi1 Quinpirole,29,190,112,0.593471810089021,0.406528189910979,35.7894736842105,41.5892857142857
Gi1 Quinpirole,30,741,437,0.695154805819207,0.304845194180793,22.6342780026991,16.8306636155606
Gi1 Quinpirole,31,521,218,0.740479746126563,0.259520253873437,30.4548944337812,25.5091743119266
Gi1 Quinpirole,32,348,194,0.559573522878721,0.440426477121279,36.1954022988506,51.1030927835052
Gi1 Quinpirole,33,633,244,0.782622752071126,0.217377247928875,30.5939968404423,22.0450819672131
Gi1 No treat,34,0,0,0,0,0,0
Gi1 No treat,35,0,0,0,0,0,0
Gi1 No treat,36,0,0,0,0,0,0
Gi1 No treat,37,217,63,0.798438363736871,0.201561636263129,53.2488479262673,46.3015873015873
Gi1 No treat,38,336,81,0.829106005459509,0.170893994540491,43.3898809523809,37.0987654320988
Gi1 No treat,39,506,315,0.491063331870704,0.508936668129296,33.1758893280632,55.231746031746
Gi1 No treat,40,474,140,0.756991855830879,0.243008144169121,46.0822784810127,50.0857142857143
Gi1 No treat,41,193,57,0.808491853278754,0.191508146721246,52.1917098445596,41.859649122807
Gi1 No treat,42,416,218,0.721192747615004,0.278807252384996,34.7091346153846,25.605504587156
Gi1 No treat,43,313,247,0.482453134942,0.517546865058,31.4920127795527,42.8097165991903
gamma2 Quinpirole,44,459,216,0.980630879911455,0.0193691200885446,30.8845315904139,1.2962962962963
gamma2 Quinpirole,45,425,169,0.776630596644495,0.223369403355505,36.8141176470588,26.6272189349112
gamma2 No treat,46,340,149,0.736617492096944,0.263382507903056,41.1205882352941,33.5503355704698
gamma2 No treat,47,315,102,0.74562603851041,0.25437396148959,48.4349206349206,51.0294117647059
Empty,48,0,0,0,0,0,0
Empty,49,0,0,0,0,0,0
Empty,50,0,0,0,0,0,0
Gi1 D2 PTXR Quinpirole (1200 ng),51,631,344,0.58976179208077,0.41023820791923,35.5483359746434,45.3575581395349
Gi1 D2 PTXR Quinpirole (1200 ng),52,453,201,0.729654335961189,0.270345664038811,39.841059602649,33.2686567164179
Empty,53,0,0,0,0,0,0
Empty,54,0,0,0,0,0,0
Gi1 D2 PTXR No treat (1200 ng),55,111,42,0.667402449444603,0.332597550555397,84.4414414414414,111.214285714286
Gi1 D2 PTXR No treat (1200 ng),56,60,30,0.641888104047539,0.358111895952461,95.4166666666667,106.466666666667
Gi1 D2 PTXR No treat (1200 ng),57,1157,476,0.69278176591093,0.30721823408907,34.7821953327571,37.4915966386555
Gi1 D2 PTXR No treat (1200 ng),58,530,135,0.828785477596888,0.171214522403112,54.2698113207547,44.0148148148148
Gi1 D2 PTXR No treat (1200 ng),59,824,304,0.685139216089301,0.314860783910699,52.5885922330097,65.5065789473684
Gi1 D2 PTXR No treat (1200 ng),60,537,163,0.811249409169686,0.188750590830314,38.3538175046555,29.398773006135
Gi1 D2 PTXR No treat (1200 ng),61,627,211,0.755153044812313,0.244846955187687,48.6730462519936,46.8957345971564
Gi1 D2 PTXR No treat (1200 ng),62,366,175,0.708386342536877,0.291613657463123,56.2896174863388,48.4628571428571
Gi1 D2 PTXR No treat (1200 ng),63,391,90,0.845354025218235,0.154645974781765,55.7263427109974,44.2888888888889
Gi1 D2 PTXR No treat (1200 ng),64,169,62,0.783574024953335,0.216425975046665,47.1952662721894,35.5322580645161
Gi1 D2 PTXR No treat (1200 ng),65,137,19,0.879479479479479,0.120520520520521,64.1313868613139,63.3684210526316
Gi1 D2 ins4A Quinpirole (300 ng),66,0,0,0,0,0,0
Gi1 D2 ins4A Quinpirole (300 ng),67,0,0,0,0,0,0
Gi1 D2 ins4A Quinpirole (300 ng),68,672,827,0.22746550293494,0.77253449706506,22.0282738095238,60.7920193470375
Gi1 D2 ins4A Quinpirole (300 ng),69,225,289,0.216600901916573,0.783399098083427,27.3244444444444,76.9411764705882
Gi1 D2 ins4A Quinpirole (300 ng),70,1036,969,0.310468771525543,0.689531228474457,23.9285714285714,56.8183694530444
Gi1 D2 ins4A Quinpirole (300 ng),71,908,989,0.285253690819616,0.714746309180384,24.0671806167401,55.3650151668352
Gi1 D2 ins4A Quinpirole (300 ng),72,605,796,0.169126484975542,0.830873515024458,20.001652892562,74.6846733668342
Gi1 D2 ins4A Quinpirole (300 ng),73,1020,561,0.607659299318128,0.392340700681872,40.5392156862745,47.5900178253119
Gi1 D2 ins4A No treat (300 ng),74,581,520,0.296921607523327,0.703078392476673,34.7796901893287,92.0153846153846
Gi1 D2 ins4A No treat (300 ng),75,528,479,0.371581005721459,0.628418994278541,29.1515151515152,54.3444676409186
Gi1 D2 ins4A No treat (300 ng),76,187,116,0.51099582722454,0.48900417277546,48.4598930481283,74.7586206896552
Gi1 D2 ins4A No treat (300 ng),77,1141,679,0.602963572124756,0.397036427875244,34.7002629272568,38.3961708394698
Gi1 D2 ins4A No treat (300 ng),78,1479,763,0.615236739053044,0.384763260946956,35.0547667342799,42.4954128440367
Gi1 D2 ins4A No treat (300 ng),79,655,747,0.227420185375901,0.772579814624099,26.9709923664122,80.3400267737617
Gi1 D2 ins4A No treat (300 ng),80,1263,810,0.530094379847195,0.469905620152805,36.4212193190816,50.341975308642
Gi1 D2 ins4A Quinpirole (1200 ng),81,699,719,0.289975175915038,0.710024824084962,22.2260371959943,52.9082058414465
Gi1 D2 ins4A Quinpirole (1200 ng),82,165,273,0.145798984902855,0.854201015097145,27.3333333333333,96.7875457875458
Gi1 D2 ins4A Quinpirole (1200 ng),83,886,1286,0.181367041198502,0.818632958801498,21.86230248307,67.9860031104199
Gi1 D2 ins4A Quinpirole (1200 ng),84,0,0,0,0,0,0
Empty,85,0,0,0,0,0,0
Gi1 D2 ins4A Quinpirole (1200 ng),86,1094,1710,0.140988558940738,0.859011441059262,16.0402193784278,62.5239766081871
Gi1 D2 ins4A Quinpirole (1200 ng),87,0,0,0,0,0,0
Gi1 D2 ins4A Quinpirole (1200 ng),88,2904,3216,0.228241140047116,0.771758859952884,18.3161157024793,55.9244402985075
Gi1 D2 ins4A Quinpirole (1200 ng),89,0,0,0,0,0,0
Gi1 D2 ins4A Quinpirole (1200 ng),90,0,0,0,0,0,0
Empty,91,0,0,0,0,0,0
Empty,92,0,0,0,0,0,0
Gi1 D2 ins4A No treat (1200 ng),93,2656,1756,0.458567693892102,0.541432306107898,34.8704819277108,62.2733485193622
Gi1 D2 ins4A No treat (1200 ng),94,0,0,0,0,0,0
Gi1 D2 ins4A No treat (1200 ng),95,586,555,0.347649750415973,0.652350249584027,17.1143344709898,33.9081081081081
Gi1 D2 ins4A No treat (1200 ng),96,793,499,0.465246389593209,0.534753610406791,42.5750315258512,77.7675350701403
Gi1 D2 ins4A No treat (1200 ng),97,475,266,0.553387682818845,0.446612317181155,38.1557894736842,54.9887218045113
Gi1 D2 ins4A No treat (1200 ng),98,1115,802,0.450619849516302,0.549380150483698,28.1991031390135,47.7967581047382
Gi1 D2 ins4A No treat (1200 ng),99,825,722,0.367401315282847,0.632598684717153,28.9151515151515,56.8891966759003
Gi1 D2 ins4A No treat (1200 ng),100,618,722,0.205026645542273,0.794973354457727,18.4271844660194,61.1578947368421
Gi1 D2 No treat (2400 ng),101,336,68,0.713660350203886,0.286339649796114,70.8392857142857,140.441176470588
Gi1 D2 No treat (2400 ng),102,0,0,0,0,0,0
Gi1 D2 No treat (2400 ng),103,511,195,0.676896426356423,0.323103573643577,61.9393346379648,77.4769230769231
Gi1 D2 No treat (2400 ng),104,668,298,0.985710130172351,0.0142898698276489,40.5823353293413,1.31879194630872
Gi1 D2 No treat (2400 ng),105,597,316,0.700178220536489,0.29982177946351,51.3299832495812,41.5253164556962
Gi1 D2 No treat (2400 ng),106,241,108,0.718715576118088,0.281284423881912,54.1452282157676,47.287037037037
Gi1 D2 No treat (2400 ng),107,384,174,0.761085972850679,0.238914027149321,54.7526041666667,37.9310344827586
Gi1 D2 No treat (2400 ng),108,1047,535,0.62481626851448,0.37518373148552,36.9465138490926,43.4168224299065
Gi1 D2 No treat (2400 ng),109,642,200,0.797206122079334,0.202793877920667,54.8457943925234,44.785
Gi1 D2 Quinpirole (2400 ng),110,1176,573,0.669259815295028,0.330740184704972,37.5280612244898,38.0628272251309
Gi1 D2 Quinpirole (2400 ng),111,0,0,0,0,0,0
Gi1 D2 Quinpirole (2400 ng),112,0,0,0,0,0,0
