Shortname,AbsoluteIdxToSubfolders,State1Tracks,State2Tracks,Occupancy1,Occupancy2,Lifetime1,Lifetime2
Gi1 Lat,1,460,130,0.811065640857751,0.188934359142249,53.8565217391304,44.3923076923077
Gi1 Lat,2,1257,455,0.983144678958035,0.0168553210419653,31.6467780429594,1.4989010989011
Gi1 Lat,3,978,389,0.721992010123818,0.278007989876182,29.7515337423313,28.8020565552699
Gi1 Lat,4,892,432,0.979975689335295,0.0200243106647048,34.3452914798206,1.44907407407407
Gi1 Lat,5,1077,302,0.834808617274969,0.165191382725031,38.3546889507892,27.0662251655629
Gi1 Lat,6,1203,684,0.972227307199456,0.0277726928005439,30.90357439734,1.55263157894737
Gi1 Lat,7,1384,581,0.715991671429738,0.284008328570262,25.3432080924856,23.9466437177281
Gi1 Lat,8,982,366,0.744994121708623,0.255005878291377,40.6537678207739,37.3360655737705
Empty,9,0,0,0,0,0,0
Gs Cyclodext,10,178,170,0.409653327388251,0.590346672611749,20.6460674157303,31.1529411764706
Gs Cyclodext,11,37,26,0.99160346695558,0.00839653304442037,98.945945945946,1.19230769230769
Gs Cyclodext,12,333,265,0.510607448107448,0.489392551892552,40.1861861861862,48.4
Gs Cyclodext,13,462,163,0.98848173149041,0.0115182685095896,39.9372294372294,1.31901840490798
Gs Cyclodext,14,592,413,0.566526958869077,0.433473041130923,40.4138513513514,44.3244552058111
Gs Cyclodext,15,136,95,0.979750253121836,0.020249746878164,42.6911764705882,1.26315789473684
Gs Cyclodext,16,114,59,0.620115672168148,0.379884327831852,38.5614035087719,45.6440677966102
Gs Cyclodext,17,101,112,0.371363258520366,0.628636741479634,53.0792079207921,81.0267857142857
Gs Cyclodext,18,169,127,0.594559318540908,0.405440681459092,51.2130177514793,46.4724409448819
Gs No treat,19,567,329,0.69763226901126,0.30236773098874,31.9065255731922,23.8328267477204
Gs No treat,20,616,298,0.693200530141773,0.306799469858227,28.0194805194805,25.6342281879195
Gs No treat,21,374,215,0.637813481946997,0.362186518053003,28.7647058823529,28.4139534883721
Gs No treat,22,676,267,0.745017109394292,0.254982890605708,31.241124260355,27.0711610486891
Gs No treat,23,817,368,0.729431357275242,0.270568642724758,33.2386780905753,27.3722826086957
Gs No treat,24,378,219,0.676317879176593,0.323682120823407,29.2910052910053,24.1963470319635
Gs No treat,25,170,39,0.819078947368421,0.180921052631579,54.1941176470588,52.1794871794872
Gi1 Quinpirole,26,605,288,0.571278528443284,0.428721471556716,33.2644628099174,52.4409722222222
Gi1 Quinpirole,27,684,234,0.791269396148813,0.208730603851187,37.1271929824561,28.6282051282051
Gi1 Quinpirole,28,190,51,0.821472324312284,0.178527675687716,38.821052631579,31.4313725490196
Gi1 Quinpirole,29,185,107,0.602683833529785,0.397316166470215,35.9297297297297,40.9532710280374
Gi1 Quinpirole,30,685,412,0.690385128524415,0.309614871475585,22.6627737226277,16.8980582524272
Gi1 Quinpirole,31,483,198,0.752989460883664,0.247010539116336,30.768115942029,24.6212121212121
Gi1 Quinpirole,32,346,194,0.557410714285714,0.442589285714286,36.0867052023121,51.1030927835052
Gi1 Quinpirole,33,607,239,0.782803138975614,0.217196861024386,30.5667215815486,21.5397489539749
Gi1 No treat,34,0,0,0,0,0,0
Gi1 No treat,35,0,0,0,0,0,0
Gi1 No treat,36,0,0,0,0,0,0
Gi1 No treat,37,217,60,0.805282598090459,0.194717401909541,53.2488479262673,46.5666666666667
Gi1 No treat,38,331,77,0.833869364364657,0.166130635635343,43.0815709969789,36.8961038961039
Gi1 No treat,39,504,302,0.511192998618148,0.488807001381852,33.0297619047619,52.7086092715232
Gi1 No treat,40,449,130,0.772152373803715,0.227847626196284,45.8218262806236,46.7
Gi1 No treat,41,184,53,0.811599266311468,0.188400733688532,50.5,40.6981132075472
Gi1 No treat,42,394,208,0.727335603319855,0.272664396680145,34.6979695431472,24.6394230769231
Gi1 No treat,43,313,247,0.482453134942,0.517546865058,31.4920127795527,42.8097165991903
gamma2 Quinpirole,44,374,200,0.977601771418838,0.0223982285811616,30.692513368984,1.315
gamma2 Quinpirole,45,413,163,0.780953358304685,0.219046641695315,36.8523002421308,26.1901840490798
gamma2 No treat,46,323,146,0.72757859900717,0.27242140099283,40.8390092879257,33.8287671232877
gamma2 No treat,47,309,100,0.73694942903752,0.26305057096248,46.7831715210356,51.6
Empty,48,0,0,0,0,0,0
Empty,49,0,0,0,0,0,0
Empty,50,0,0,0,0,0,0
Gi1 D2 PTXR Quinpirole (1200 ng),51,592,276,0.652714646464646,0.347285353535354,34.9290540540541,39.8623188405797
Gi1 D2 PTXR Quinpirole (1200 ng),52,416,177,0.763039399624766,0.236960600375235,39.1057692307692,28.5423728813559
Empty,53,0,0,0,0,0,0
Empty,54,0,0,0,0,0,0
Gi1 D2 PTXR No treat (1200 ng),55,99,36,0.643444026018487,0.356555973981513,75.9393939393939,115.722222222222
Gi1 D2 PTXR No treat (1200 ng),56,54,20,0.681300569373689,0.318699430626311,84.2037037037037,106.35
Gi1 D2 PTXR No treat (1200 ng),57,1124,451,0.71358137829912,0.28641862170088,34.6379003558719,34.649667405765
Gi1 D2 PTXR No treat (1200 ng),58,507,114,0.851648013774443,0.148351986225557,54.6331360946746,42.3245614035088
Gi1 D2 PTXR No treat (1200 ng),59,789,253,0.735844675454578,0.264155324545422,52.2141951837769,58.4545454545455
Gi1 D2 PTXR No treat (1200 ng),60,524,158,0.808055814708149,0.191944185291851,38.0171755725191,29.9493670886076
Gi1 D2 PTXR No treat (1200 ng),61,615,202,0.761687659377173,0.238312340622827,48.0829268292683,45.8019801980198
Gi1 D2 PTXR No treat (1200 ng),62,336,156,0.735576371630663,0.264423628369337,57.2589285714286,44.3333333333333
Gi1 D2 PTXR No treat (1200 ng),63,375,76,0.86085676913015,0.13914323086985,56.16,44.7894736842105
Gi1 D2 PTXR No treat (1200 ng),64,165,60,0.778221267014635,0.221778732985365,46.0848484848485,36.1166666666667
Gi1 D2 PTXR No treat (1200 ng),65,130,13,0.940856399337592,0.0591436006624083,61.1846153846154,38.4615384615385
Gi1 D2 ins4A Quinpirole (300 ng),66,0,0,0,0,0,0
Gi1 D2 ins4A Quinpirole (300 ng),67,0,0,0,0,0,0
Gi1 D2 ins4A Quinpirole (300 ng),68,611,653,0.270210695633179,0.729789304366821,22.2700490998363,56.2787136294028
Gi1 D2 ins4A Quinpirole (300 ng),69,197,193,0.350625319040327,0.649374680959673,27.8934010152284,52.7305699481865
Gi1 D2 ins4A Quinpirole (300 ng),70,886,756,0.380899056151016,0.619100943848984,24.186230248307,46.0714285714286
